Gender,Age,Income Level,Region,Contract Type,Tenure,Account Type,Billing Method,Payment Method,Monthly Charges,Total Charges,Call Usage (mins),Internet Service,Data Usage (GB),Streaming Services,Value-Added Services,Device Protection Plan,Number of Complaints,Response Time (hrs),Customer Support Calls,Satisfaction Score,Service Downgrades,Contract Changes,Churn Label,Onboarding Experience,Login Frequency,App Engagement
Female,29,Low,North,Month-to-month,38,Prepaid,Mailed,Cash,136.56,3733.85,300.4,Fiber optic,321.22,Yes,No,No,4,30.76,3,4.73,0,No,Yes,6.33,49,8.32
Non-binary,35,Medium,South,One-year,8,Prepaid,Mailed,Credit Card,74.79,6890.73,611.91,Fiber optic,166.61,No,No,Yes,2,8.85,7,8.38,5,Yes,Yes,8.6,12,1.07
Non-binary,41,High,East,Two-year,49,Prepaid,Mailed,Bank Transfer,23.65,7800.84,881.08,None,224.29,No,Yes,Yes,8,1.47,0,7.31,2,Yes,No,3.73,5,1.12
Female,23,High,North,Month-to-month,49,Postpaid,Paperless,Credit Card,198.23,5625.61,588.79,DSL,273.59,Yes,Yes,Yes,1,39.72,12,2.95,5,No,Yes,1.88,39,9.72
Female,64,Low,East,One-year,61,Postpaid,Mailed,Bank Transfer,186.73,1296.49,297.49,DSL,113.7,Yes,No,Yes,7,41.1,14,4.03,5,No,No,9.31,11,3.43
Non-binary,21,Low,East,Month-to-month,67,Postpaid,Mailed,Credit Card,101.44,9224.42,873.36,None,478.26,Yes,Yes,No,6,37.86,3,2.43,1,No,No,5.07,42,0.97
Male,79,Low,East,Two-year,20,Postpaid,Mailed,Credit Card,51.91,1528.36,715.1,DSL,24.87,No,Yes,Yes,9,20.8,3,9.07,5,No,No,8.9,49,6.22
Non-binary,34,Low,South,One-year,10,Postpaid,Mailed,Cash,57.17,894.52,200.33,Fiber optic,268.91,No,No,No,10,24.27,5,8.73,0,Yes,No,1.19,14,6.86
Non-binary,25,Medium,West,Two-year,58,Postpaid,Mailed,Credit Card,193.32,1300.27,682.23,DSL,460.06,No,Yes,No,6,17.1,8,1.32,4,Yes,No,8.74,41,7.56
Female,40,Medium,South,Two-year,23,Postpaid,Paperless,Cash,84.05,5713.29,104.66,None,474.18,No,No,No,10,6.57,14,3.38,1,No,No,4.12,47,2.92
Non-binary,21,Medium,East,Two-year,59,Prepaid,Paperless,Credit Card,125.46,6131.4,452.81,Fiber optic,196.07,Yes,No,No,0,43.45,5,7.71,2,No,No,4.41,42,8.01
Non-binary,76,High,East,Two-year,39,Prepaid,Paperless,Bank Transfer,190.04,5358.58,868.07,DSL,217.65,Yes,No,No,6,30.42,6,3.96,2,Yes,Yes,8.73,31,7.33
Non-binary,28,High,South,Two-year,47,Postpaid,Paperless,Bank Transfer,123.25,9830.6,685.06,Fiber optic,328.52,No,No,No,6,13.99,4,9,2,Yes,Yes,1.72,46,5.14
Male,46,Medium,South,Two-year,7,Prepaid,Paperless,Cash,99.32,2812.78,405.21,None,386.84,No,No,No,4,31.48,9,7.82,5,No,No,2.86,6,0.43
Non-binary,54,Medium,East,Month-to-month,37,Prepaid,Mailed,Bank Transfer,65.13,9049.59,302.85,DSL,128.76,Yes,Yes,No,2,29.88,15,4.44,0,Yes,No,3.37,13,7.86
Female,76,Low,North,Month-to-month,10,Prepaid,Mailed,Bank Transfer,190.36,5972.49,453.21,None,494.73,No,No,Yes,6,47.88,4,7.16,5,No,Yes,2.8,17,4.4
Female,57,High,South,Month-to-month,31,Prepaid,Paperless,Bank Transfer,67.57,4844.95,635.63,DSL,433.01,No,Yes,Yes,7,8.55,9,4.17,1,No,No,7.84,46,3.24
Male,69,Medium,East,Month-to-month,64,Prepaid,Paperless,Credit Card,106.69,3120.54,215.75,Fiber optic,324.46,No,No,No,1,14.31,19,8.3,5,Yes,Yes,4.2,38,4.82
Male,36,Medium,North,One-year,60,Prepaid,Paperless,Bank Transfer,22.36,3925.44,391.25,None,315.86,No,Yes,No,9,4.04,19,3.78,3,No,Yes,4.63,4,0.51
Male,38,Medium,South,Two-year,70,Prepaid,Mailed,Bank Transfer,162.94,2476.84,504.65,DSL,497.31,Yes,Yes,Yes,8,17.37,20,8.83,0,No,Yes,1.56,7,5.62
Male,76,Low,East,One-year,15,Prepaid,Mailed,Bank Transfer,159.13,5523.67,570.05,DSL,406.37,Yes,Yes,No,6,2.08,17,7.05,1,No,Yes,1.45,6,5.19
Non-binary,51,Low,South,One-year,61,Prepaid,Paperless,Credit Card,62.01,895.52,959.22,Fiber optic,170.74,No,No,No,2,31.23,10,2.9,1,Yes,No,5.63,40,3.71
Male,76,Medium,West,Two-year,11,Prepaid,Mailed,Cash,166.62,7893.23,958.68,DSL,240.71,Yes,No,Yes,1,34.57,0,8.48,2,No,Yes,4.81,11,2.33
Non-binary,52,Medium,South,Two-year,53,Prepaid,Paperless,Bank Transfer,156.6,1497.57,311.95,DSL,247.48,No,No,No,7,24.04,19,3.14,5,Yes,Yes,4.11,47,0.4
Female,57,Medium,North,Month-to-month,61,Prepaid,Paperless,Cash,118.06,2779.82,888.26,None,340.06,Yes,No,No,10,37.79,8,4.78,5,No,No,3.97,38,1.97
Female,25,Low,West,One-year,13,Postpaid,Paperless,Credit Card,95.62,4983.34,553.02,Fiber optic,132.16,Yes,Yes,No,2,28.28,10,3.35,2,No,No,2.44,26,2.25
Female,68,High,North,Month-to-month,19,Prepaid,Paperless,Credit Card,99.46,9127.41,580.65,Fiber optic,288.47,Yes,No,Yes,5,29.97,18,3.34,2,No,No,9.88,0,5.78
Male,59,Medium,North,One-year,9,Prepaid,Mailed,Bank Transfer,41.49,4556.35,429.1,Fiber optic,383.61,No,No,No,1,31.84,4,8.03,3,No,No,3.26,3,2.18
Male,73,Medium,North,One-year,32,Prepaid,Paperless,Bank Transfer,87.92,1936.25,992.72,DSL,142.17,Yes,Yes,No,0,42.7,8,1.82,3,Yes,No,7.85,16,2.05
Male,20,Medium,East,Two-year,35,Postpaid,Paperless,Cash,198.3,2159.57,577.74,DSL,174.9,Yes,Yes,No,9,8.36,10,1.45,5,No,Yes,6.65,4,8.56
Female,45,Low,North,Two-year,15,Postpaid,Paperless,Cash,58.89,2809.73,533.35,Fiber optic,449.05,Yes,Yes,No,0,8.48,4,9.92,4,No,No,6.36,40,3.83
Non-binary,69,Low,East,Two-year,45,Postpaid,Mailed,Bank Transfer,37.52,6319.81,111.57,Fiber optic,263.26,No,No,Yes,1,28.25,2,8.53,3,Yes,Yes,9.21,50,9.81
Female,71,High,West,Month-to-month,35,Prepaid,Mailed,Cash,101.04,7300,849.4,Fiber optic,74.62,No,No,Yes,7,23.37,4,3.46,2,No,No,7.21,4,2.2
Female,62,High,East,Month-to-month,52,Prepaid,Paperless,Cash,115.62,1707.07,93.05,DSL,451.37,No,No,Yes,10,44.58,10,1.51,4,No,Yes,6.31,8,0.33
Male,41,Medium,East,Month-to-month,27,Postpaid,Mailed,Cash,52.77,9661.04,448.4,DSL,467.35,No,No,Yes,5,24.6,17,2.89,5,Yes,Yes,2.75,16,7.13
Female,55,High,East,Month-to-month,35,Prepaid,Paperless,Cash,113.01,9705.94,191.84,Fiber optic,244.69,Yes,Yes,Yes,8,33.96,4,1.25,4,Yes,No,4.43,1,6.39
Female,35,High,South,Month-to-month,48,Postpaid,Mailed,Bank Transfer,143.31,158.38,260.36,Fiber optic,484.79,No,Yes,Yes,9,15.27,14,7.13,3,Yes,Yes,9.6,17,7.92
Male,34,High,West,Month-to-month,39,Postpaid,Paperless,Cash,108.56,1613.11,857.34,DSL,23.64,No,Yes,No,1,25.62,14,1.65,1,Yes,No,6.58,22,6.2
Female,24,Medium,East,One-year,31,Prepaid,Mailed,Credit Card,21.97,1724.05,958.77,Fiber optic,217.58,No,No,Yes,0,29.05,12,3.92,1,No,No,6.73,36,9.85
Female,24,High,North,One-year,18,Postpaid,Paperless,Credit Card,67.81,6006.11,262.79,Fiber optic,470.95,No,Yes,No,9,26.27,8,4.08,5,No,Yes,4.72,45,0.89
Non-binary,60,Low,East,Month-to-month,22,Postpaid,Paperless,Cash,61.68,3999.05,779.2,Fiber optic,475.65,Yes,Yes,No,2,35.31,0,7.4,0,No,No,1.37,5,6.87
Non-binary,23,High,North,Two-year,56,Prepaid,Mailed,Cash,94.84,5580.56,574.3,Fiber optic,252.43,Yes,No,No,6,18.96,4,5.45,0,No,Yes,8.14,34,0.41
Female,48,Medium,South,One-year,11,Prepaid,Mailed,Cash,83.15,3571.76,975.49,Fiber optic,39.89,Yes,No,Yes,1,20.84,18,2.09,5,No,No,4.85,34,6.94
Male,55,Medium,South,One-year,49,Prepaid,Mailed,Cash,109.6,3736.62,482.87,Fiber optic,10.04,Yes,Yes,Yes,6,8.53,13,6.11,4,Yes,Yes,3.97,14,6.66
Male,36,Medium,East,Two-year,35,Prepaid,Mailed,Cash,73.05,9149.93,157.66,Fiber optic,232.94,Yes,Yes,No,2,11.73,9,9.31,5,Yes,Yes,5.31,15,9.4
Female,37,Medium,North,Month-to-month,39,Prepaid,Mailed,Credit Card,152.77,6706.79,703.3,None,361.04,Yes,Yes,Yes,1,15.15,15,8.1,4,No,Yes,9.02,43,3.17
Male,48,Medium,North,One-year,27,Postpaid,Mailed,Credit Card,130.83,3838.04,818.17,None,88.91,Yes,No,Yes,1,30.31,16,1.03,4,No,Yes,9.36,47,3.17
Male,53,Low,South,Month-to-month,33,Postpaid,Paperless,Credit Card,112.17,1868.71,376.44,None,307.03,Yes,No,No,9,10.8,19,7.22,5,Yes,Yes,2.28,21,8.15
Male,70,High,East,Two-year,10,Postpaid,Mailed,Bank Transfer,76.33,5280.66,762.32,Fiber optic,262,No,Yes,No,0,14.86,9,1.42,4,Yes,No,8.63,31,9.08
Non-binary,70,Medium,South,Two-year,51,Postpaid,Paperless,Cash,38.12,999.1,59.66,None,396.33,Yes,No,Yes,4,27.18,19,8.74,3,No,Yes,5.64,12,9.42
Female,79,Medium,East,One-year,38,Postpaid,Paperless,Bank Transfer,98.53,3505.56,757.37,DSL,123.27,Yes,Yes,Yes,3,28.96,2,7.5,0,Yes,Yes,5.54,6,4.43
Male,77,High,North,Month-to-month,55,Postpaid,Paperless,Credit Card,43.65,8348.63,557.46,DSL,408.62,Yes,Yes,Yes,8,36.88,15,3.71,4,No,Yes,7.26,3,1.04
Male,70,High,North,One-year,14,Prepaid,Paperless,Bank Transfer,85.89,1803.25,957.67,None,159.65,No,No,No,7,43.69,14,8.8,2,No,No,4.62,19,0.53
Non-binary,76,Low,North,Two-year,63,Postpaid,Mailed,Bank Transfer,28.49,8218.2,631.45,None,97.73,Yes,No,Yes,3,46.47,8,3.37,3,Yes,Yes,8.14,40,9.01
Male,72,Low,North,Month-to-month,36,Prepaid,Mailed,Bank Transfer,69.78,7977.28,530.2,None,341.34,No,No,No,10,12.58,10,1.37,4,No,Yes,5.18,43,7.14
Female,76,Low,South,Two-year,50,Postpaid,Mailed,Bank Transfer,128.99,3753.56,358.2,None,136.43,Yes,Yes,Yes,0,6.1,0,3.66,5,Yes,Yes,5.86,32,8.56
Female,74,Medium,North,Two-year,26,Postpaid,Paperless,Credit Card,141.23,5098.56,989.02,DSL,379.75,Yes,No,Yes,7,5.44,4,5.71,2,No,No,8.87,21,0.66
Female,64,High,West,Two-year,41,Prepaid,Mailed,Credit Card,47.21,6518.29,76.34,DSL,78.45,Yes,Yes,No,2,13.41,13,4.83,3,Yes,Yes,8.38,15,3.75
Non-binary,49,Medium,East,One-year,21,Postpaid,Paperless,Bank Transfer,30.35,8542.92,672.9,None,418.02,No,No,Yes,7,12.45,15,9.02,2,No,No,9.02,28,4.79
Male,18,Medium,East,One-year,44,Prepaid,Paperless,Cash,124,9642.01,923.51,DSL,344.21,No,Yes,No,6,1.3,16,5.27,4,Yes,Yes,3.04,12,9.11
Male,78,High,South,Month-to-month,66,Postpaid,Paperless,Cash,65.31,921.9,999.68,DSL,468.58,No,No,No,0,44.9,1,9.32,5,Yes,Yes,3.05,26,0.31
Male,70,High,West,Two-year,35,Prepaid,Mailed,Bank Transfer,199.89,3419.08,770.13,Fiber optic,288.51,Yes,Yes,No,9,19.81,0,9.19,5,No,No,5.1,20,8.88
Female,40,High,East,Month-to-month,31,Postpaid,Mailed,Bank Transfer,95,5839.59,214.71,DSL,140.52,Yes,No,No,8,24.94,9,5.68,0,Yes,Yes,7.15,5,4.12
Female,47,Medium,North,Month-to-month,46,Postpaid,Paperless,Bank Transfer,55.98,6048.39,738.65,Fiber optic,3.67,Yes,No,Yes,1,7.4,17,1.14,1,No,No,7.51,11,6.16
Male,31,Low,West,One-year,58,Postpaid,Mailed,Bank Transfer,35.9,1481.59,50.83,None,30.08,No,No,No,2,6.97,7,6.51,1,No,No,9.67,12,9.39
Female,79,Medium,North,One-year,20,Postpaid,Paperless,Bank Transfer,87.73,8052.47,618.38,Fiber optic,289.78,No,No,No,2,19.37,18,3.88,4,Yes,No,4.52,40,1.69
Male,29,Medium,North,One-year,46,Prepaid,Paperless,Credit Card,188.91,6538.16,285.85,Fiber optic,217.19,Yes,Yes,No,4,6.28,2,2.67,1,No,Yes,3.02,11,9.07
Female,36,Low,East,Month-to-month,9,Prepaid,Mailed,Bank Transfer,168.38,1233.35,397.68,None,214.21,Yes,Yes,No,10,27.44,3,3.28,4,Yes,Yes,5.5,15,9.86
Male,77,High,East,Two-year,43,Prepaid,Paperless,Credit Card,47.09,5897.78,733.65,DSL,337.78,No,Yes,No,1,14.93,8,3.63,5,Yes,Yes,9.07,40,9.43
Female,46,Low,East,Two-year,27,Prepaid,Mailed,Cash,66.88,8134.02,255.61,Fiber optic,370.68,No,Yes,Yes,0,12.64,5,7.18,3,Yes,Yes,9.47,9,2.98
Male,63,Medium,North,One-year,26,Prepaid,Paperless,Bank Transfer,125.69,7041.7,312.4,Fiber optic,399.34,No,Yes,Yes,0,43.81,20,9.94,0,No,Yes,4.1,2,6.31
Female,18,Low,West,One-year,51,Prepaid,Paperless,Credit Card,87.93,7528.2,652.91,DSL,200.91,No,Yes,No,6,17.53,13,2.64,3,No,No,6.38,21,0.36
Male,40,Low,North,One-year,61,Postpaid,Paperless,Bank Transfer,151.58,4147.82,291.55,DSL,443.7,No,No,No,8,32.96,10,3.26,4,Yes,No,4.62,4,6.01
Male,19,Low,North,Month-to-month,49,Postpaid,Paperless,Credit Card,41.35,5786.96,141.94,DSL,165.17,Yes,Yes,No,6,21.79,7,8.56,0,No,No,6.49,17,2.22
Non-binary,40,Medium,North,One-year,33,Prepaid,Mailed,Cash,155.79,4389.28,698.07,Fiber optic,228.44,Yes,No,No,3,10.71,8,6.31,5,Yes,No,8.19,44,2.65
Female,54,Medium,South,Two-year,62,Postpaid,Mailed,Bank Transfer,135.59,6784.86,912.68,DSL,393.91,No,Yes,Yes,8,25.12,2,3.84,5,No,No,1.69,37,7.68
Female,50,High,South,One-year,7,Postpaid,Paperless,Cash,162.45,5042.67,619.18,DSL,91.97,Yes,Yes,No,10,31.68,14,4.63,4,Yes,No,2.36,9,9.62
Female,26,Medium,North,Two-year,61,Postpaid,Mailed,Bank Transfer,186.44,4257.6,995.46,Fiber optic,493.82,No,No,No,0,13.11,18,2.14,0,Yes,Yes,9.09,4,3.38
Male,27,Medium,North,Month-to-month,25,Postpaid,Mailed,Bank Transfer,105.47,9130.46,111.99,DSL,109.82,No,Yes,Yes,7,47.54,10,6.1,5,Yes,Yes,1.89,0,4.37
Male,73,Low,West,Two-year,70,Postpaid,Paperless,Cash,35.17,7540.55,925.85,DSL,258.51,No,Yes,No,3,19.77,11,8.91,4,Yes,No,9.48,22,9.76
Female,59,High,West,Month-to-month,11,Postpaid,Paperless,Bank Transfer,42.87,1020.02,639.2,Fiber optic,46.72,Yes,No,No,6,5.2,1,7.17,1,No,Yes,1.55,46,1.88
Non-binary,69,High,East,One-year,45,Prepaid,Paperless,Cash,100.23,1605.18,846.43,DSL,237.71,No,Yes,No,2,3.19,19,2.69,0,No,Yes,4.61,45,8.98
Non-binary,49,Low,North,Month-to-month,23,Postpaid,Paperless,Cash,123.26,2424.66,97.61,None,85.26,Yes,No,Yes,1,32.08,2,5.82,2,Yes,Yes,9.79,48,8.88
Non-binary,71,Medium,West,Month-to-month,6,Prepaid,Mailed,Credit Card,77.18,606.35,184.27,Fiber optic,24.17,No,Yes,Yes,0,20.19,1,7.28,2,No,No,9.51,6,0
Non-binary,56,Medium,East,One-year,27,Postpaid,Paperless,Bank Transfer,199.29,5275.97,736.03,DSL,292.76,No,No,Yes,2,42.46,4,4.46,2,Yes,No,8.41,38,2.28
Non-binary,73,Medium,East,One-year,26,Prepaid,Mailed,Credit Card,99.83,4951.28,397.61,None,31.82,No,Yes,Yes,4,4.06,8,1.85,5,Yes,No,2.41,43,4.68
Male,49,High,North,Month-to-month,70,Prepaid,Paperless,Cash,88.19,5532.12,728.34,None,110.16,No,Yes,Yes,10,10.06,12,3.59,3,Yes,Yes,6.18,8,0.85
Female,28,Medium,South,One-year,38,Postpaid,Mailed,Bank Transfer,136.62,7393.49,713.18,Fiber optic,17.33,No,Yes,No,8,27.27,17,9.16,0,No,Yes,8.56,29,8.7
Female,41,Medium,East,Two-year,68,Prepaid,Paperless,Credit Card,148.82,7077.3,199.51,Fiber optic,166.36,Yes,Yes,No,1,32.86,15,7.24,2,Yes,No,4.01,22,7.99
Non-binary,63,Medium,South,Two-year,45,Prepaid,Mailed,Bank Transfer,198.64,4314.5,240.38,DSL,38.58,Yes,No,Yes,10,25.23,9,4.79,0,No,No,8.59,22,6.22
Male,77,Low,South,Two-year,4,Prepaid,Paperless,Cash,127.99,3225.95,521,DSL,237.84,Yes,Yes,Yes,1,28.77,15,7.06,0,No,Yes,6.39,49,2.81
Non-binary,43,Medium,North,Month-to-month,57,Postpaid,Paperless,Bank Transfer,76.66,6205.62,450.21,Fiber optic,388.64,No,Yes,No,3,42.74,5,3.85,3,Yes,No,8.45,1,2.35
Non-binary,67,Low,South,Month-to-month,32,Postpaid,Paperless,Bank Transfer,82.75,5903.55,167.51,None,85.22,Yes,No,Yes,8,40.27,14,4.59,2,No,Yes,2.35,27,8.49
Female,61,High,East,One-year,60,Prepaid,Paperless,Cash,26.52,9036.21,133.8,None,154.2,Yes,No,Yes,2,16.47,6,7.14,5,No,No,7.75,10,9.4
Female,53,Low,East,One-year,5,Postpaid,Paperless,Credit Card,107.24,4357.74,600.35,Fiber optic,351.32,Yes,No,No,10,9.22,15,8.11,3,No,Yes,3.53,19,8.79
Female,45,Medium,West,One-year,19,Postpaid,Paperless,Bank Transfer,107.55,3770.51,413.04,None,35.12,Yes,Yes,No,8,44.43,12,2.22,0,Yes,Yes,8.56,11,9.14
Female,20,Low,East,Month-to-month,63,Postpaid,Paperless,Bank Transfer,72.84,6814.71,919.99,Fiber optic,189.77,No,Yes,Yes,8,38.01,2,8.36,3,No,Yes,5.61,40,2.91
Non-binary,20,High,North,One-year,44,Prepaid,Mailed,Credit Card,118.62,202.72,974.4,Fiber optic,289.83,No,Yes,No,5,5.69,15,2.75,3,Yes,Yes,3.37,25,9.09
Non-binary,58,Low,West,Two-year,65,Postpaid,Paperless,Cash,67.06,2412.67,868.92,None,18.66,Yes,Yes,No,3,46.47,19,1.23,4,No,Yes,7.77,5,3.53
Non-binary,38,High,East,One-year,59,Prepaid,Paperless,Cash,94.23,2636.23,390.03,Fiber optic,168.22,No,No,Yes,5,11.72,4,8.45,3,No,No,4.46,0,4.42
Non-binary,75,Medium,East,Two-year,19,Prepaid,Mailed,Bank Transfer,73.86,5394.98,57,Fiber optic,137.27,Yes,No,No,7,26.51,13,4.49,5,Yes,Yes,2.16,3,5.01
Non-binary,68,Medium,South,One-year,58,Prepaid,Paperless,Cash,151.1,8799.02,320.09,None,384.67,No,Yes,No,6,38.04,3,9.15,3,No,Yes,7.45,21,9.29
Male,61,Medium,North,One-year,51,Prepaid,Mailed,Credit Card,198.58,1236.95,357.79,DSL,121.71,No,No,No,3,4.96,3,2.28,2,No,No,7.71,46,9.86
Male,47,High,East,Month-to-month,63,Postpaid,Mailed,Bank Transfer,97.68,6399.65,801.03,DSL,405.62,Yes,No,No,9,18.61,15,7.85,0,No,No,8.28,6,0.51
Non-binary,76,Low,West,One-year,47,Postpaid,Mailed,Credit Card,48.19,6108.64,569.58,Fiber optic,74.93,No,Yes,No,4,27.19,17,4.2,1,Yes,Yes,7.43,16,0.72
Non-binary,56,High,South,One-year,32,Postpaid,Mailed,Credit Card,186.45,5375.23,547.92,DSL,333.57,Yes,No,Yes,7,39.68,18,3.76,5,Yes,Yes,3.01,46,1.95
Female,29,Medium,South,Month-to-month,13,Postpaid,Mailed,Cash,125.81,8939.75,988.67,Fiber optic,275.9,Yes,No,Yes,2,38.46,18,3.88,0,Yes,No,1.36,24,0.74
Male,74,High,East,Two-year,43,Prepaid,Mailed,Cash,125.49,2782.58,264.88,Fiber optic,402.16,Yes,Yes,Yes,1,38.24,5,9.86,3,Yes,No,9.43,20,5.39
Male,50,Low,North,Month-to-month,65,Prepaid,Paperless,Bank Transfer,78.17,7362.59,66.68,Fiber optic,366.73,No,No,Yes,5,9.28,15,6.55,5,No,Yes,1.52,12,4.94
Female,30,Medium,East,One-year,27,Postpaid,Mailed,Credit Card,46.3,998.26,63.33,Fiber optic,296.22,Yes,Yes,Yes,10,38.85,15,7.74,0,Yes,No,2.44,35,0.96
Non-binary,57,Low,South,One-year,47,Prepaid,Paperless,Cash,137.11,1985.71,207.08,None,282.24,No,No,Yes,0,11.89,0,3.41,4,Yes,Yes,9.74,6,9.23
Male,76,Medium,North,Two-year,24,Postpaid,Paperless,Cash,99.63,3073.49,798.62,DSL,499.16,Yes,No,No,5,19.81,14,4.22,1,Yes,Yes,9.1,19,9.37
Male,77,Low,East,Two-year,20,Postpaid,Mailed,Bank Transfer,113.91,7531.64,92.55,DSL,179.28,Yes,No,No,5,15.87,7,1.75,1,No,Yes,9.18,39,7.41
Male,22,Medium,West,Month-to-month,46,Prepaid,Mailed,Bank Transfer,112.18,7665.2,506.68,DSL,136.98,Yes,No,No,3,13.81,11,7.73,2,Yes,Yes,4.27,41,9.79
Non-binary,75,Low,East,One-year,65,Postpaid,Mailed,Credit Card,21.25,4605.34,524.06,None,191.99,Yes,No,No,4,35.42,13,6.01,2,No,No,4.45,49,9.98
Non-binary,75,High,West,Month-to-month,26,Prepaid,Mailed,Bank Transfer,76.9,9120.5,173.36,DSL,373.84,Yes,Yes,No,6,45.61,15,2.53,1,Yes,Yes,4.76,28,9.99
Male,20,High,North,One-year,41,Prepaid,Paperless,Credit Card,172.06,7248.51,671.39,Fiber optic,234.77,No,No,No,0,3.91,3,3.5,4,No,Yes,2.22,14,7.53
Non-binary,80,Medium,South,One-year,65,Postpaid,Mailed,Bank Transfer,107.01,3338.35,912.1,Fiber optic,351.83,Yes,Yes,No,3,7.66,5,9.41,1,No,Yes,3.98,11,9.51
Female,28,Low,South,Two-year,28,Postpaid,Paperless,Cash,94.28,2011.08,360.53,DSL,30.81,No,No,No,2,46.97,19,5.09,1,Yes,Yes,6.25,3,0.53
Non-binary,70,Medium,East,Month-to-month,47,Postpaid,Paperless,Cash,107.49,216.61,738.56,DSL,484.13,No,No,No,3,23.14,14,9.2,5,No,No,3.09,9,0.4
Female,26,High,East,Two-year,72,Prepaid,Mailed,Bank Transfer,58.53,5546.4,112.9,None,287.18,No,Yes,Yes,4,7.64,7,9.73,3,Yes,No,2.82,45,6.87
Female,79,Medium,North,Two-year,1,Prepaid,Paperless,Bank Transfer,186.57,8854.34,708.61,None,400.95,Yes,No,Yes,1,10.59,4,1.37,5,No,Yes,5.35,8,3.98
Non-binary,70,Medium,South,One-year,55,Postpaid,Paperless,Bank Transfer,101.6,5489.44,604.96,Fiber optic,6.74,No,Yes,No,9,47.82,7,8.96,2,Yes,Yes,1.92,45,9.06
Female,45,Low,South,Two-year,53,Prepaid,Paperless,Credit Card,158.2,8745.9,855.6,DSL,311.16,Yes,No,Yes,4,38.6,8,8.73,3,No,No,4.07,43,4.55
Male,57,Low,West,Two-year,38,Postpaid,Mailed,Bank Transfer,175.65,8443.22,514.4,DSL,406.66,No,Yes,No,5,8.02,14,4.58,5,Yes,Yes,8.96,30,0.27
Non-binary,63,High,North,One-year,22,Postpaid,Mailed,Cash,174.99,5395.27,578.77,None,396.13,No,Yes,Yes,0,16.5,20,5.59,2,No,No,4.46,1,6.39
Female,70,Low,South,Two-year,21,Postpaid,Paperless,Credit Card,44.18,4174.16,784.65,DSL,279.12,Yes,Yes,No,0,4.7,11,1.21,2,No,Yes,6.61,6,0.76
Non-binary,67,High,South,One-year,11,Postpaid,Mailed,Cash,197.02,8088.46,224.88,DSL,75.45,No,Yes,No,6,20.09,7,5.11,1,Yes,No,9.28,30,5.91
Female,56,Low,North,Two-year,43,Prepaid,Mailed,Cash,30.69,1170.27,812.52,Fiber optic,79.74,Yes,No,No,10,38.68,14,2.77,2,Yes,No,7.64,15,0.3
Male,59,Low,North,Month-to-month,61,Postpaid,Mailed,Credit Card,190.44,3384.69,595.56,None,309.16,No,Yes,No,4,8.19,3,8.27,4,No,Yes,7.64,26,7.15
Non-binary,62,Low,South,One-year,51,Postpaid,Paperless,Credit Card,82.05,8966.44,712.5,Fiber optic,253.05,Yes,No,No,8,23.64,4,7.76,0,No,Yes,2.5,16,0.47
Non-binary,75,Medium,West,One-year,31,Prepaid,Mailed,Cash,45.92,5013.42,303.23,DSL,458.34,Yes,Yes,No,9,33.81,13,5.61,2,Yes,No,6.6,31,0.29
Male,54,High,North,Month-to-month,13,Prepaid,Mailed,Credit Card,46.81,3248.67,681.32,Fiber optic,143.73,No,No,Yes,4,7.43,16,5.75,3,No,Yes,9.92,33,6.89
Female,33,High,South,Month-to-month,71,Prepaid,Paperless,Bank Transfer,148.71,1616.41,534.93,Fiber optic,457.88,No,Yes,No,7,35.31,7,4.81,3,Yes,Yes,7.74,10,3.4
Non-binary,42,Low,North,One-year,55,Prepaid,Paperless,Credit Card,99.5,4573.29,456.7,Fiber optic,42.52,No,No,Yes,3,12.95,19,8.32,3,Yes,No,8.15,0,3.71
Non-binary,39,Low,North,One-year,24,Prepaid,Paperless,Bank Transfer,109.8,2961.82,441.82,None,354.78,Yes,No,No,5,11.78,12,8,0,No,Yes,3.66,31,9.15
Female,79,Medium,West,One-year,50,Postpaid,Paperless,Bank Transfer,122.09,1640.24,459.4,DSL,239.83,Yes,Yes,No,2,14.58,11,2.83,0,No,No,4.34,8,0.75
Non-binary,45,Low,South,Two-year,61,Postpaid,Mailed,Cash,21.56,6801.9,274.56,Fiber optic,336.93,No,No,No,2,40.9,5,1.79,5,No,Yes,8.96,2,4.51
Non-binary,73,Medium,North,One-year,9,Postpaid,Paperless,Credit Card,80.05,7865.94,830.81,Fiber optic,77.92,No,No,Yes,7,26.05,2,3.05,5,No,Yes,9.59,34,1.34
Non-binary,37,Medium,South,Month-to-month,58,Prepaid,Paperless,Cash,157.43,5340.58,543.31,Fiber optic,323.79,No,No,No,2,37.53,4,4.66,3,Yes,No,6.52,24,9.44
Non-binary,38,High,North,One-year,70,Postpaid,Paperless,Bank Transfer,113.01,6027.21,797.31,None,159.11,Yes,No,Yes,0,23.6,8,5.26,0,No,No,4.72,28,2.91
Non-binary,73,Low,West,Two-year,21,Postpaid,Mailed,Cash,47.21,920.55,882.97,DSL,404.58,No,No,No,6,10.06,2,6.36,2,No,Yes,4.05,5,7.93
Non-binary,44,High,East,Two-year,25,Postpaid,Paperless,Credit Card,62.54,1151.97,317.33,None,279.94,No,Yes,Yes,6,18.98,12,8.47,2,Yes,No,3.53,16,6.97
Male,55,Low,East,Two-year,48,Postpaid,Paperless,Cash,147.12,198.12,68.56,DSL,492.2,Yes,Yes,Yes,4,18.58,6,5.07,2,No,No,3.57,16,1.94
